sample,batch,class,order
QC01,1,NA,1
QC02,1,NA,2
QC03,1,NA,3
10_B_4,1,4,4
17_C_2,1,6,5
20_B_3,1,3,6
18_C_1,1,5,7
19_C_2,1,6,8
14_B_4,1,4,9
QC04,1,NA,10
1_B_3,1,3,11
18_B_2,1,2,12
17_B_2,1,2,13
14_B_3,1,3,14
19_C_1,1,5,15
14_C_2,1,6,16
QC05,1,NA,17
16_B_2,1,2,18
15_C_3,1,7,19
19_C_3,1,7,20
17_C_1,1,5,21
9_C_2,1,6,22
1_C_2,1,6,23
QC06,1,NA,24
16_C_1,1,5,25
20_B_4,1,4,26
18_B_4,1,4,27
20_C_3,1,7,28
10_C_2,1,6,29
19_B_2,1,2,30
QC07,1,NA,31
20_C_2,1,6,32
17_B_4,1,4,33
9_B_4,1,4,34
20_B_2,1,2,35
9_C_1,1,5,36
19_B_3,1,3,37
QC08,1,NA,38
15_C_2,1,6,39
16_B_4,1,4,40
19_B_4,1,4,41
17_C_3,1,7,42
10_C_3,1,7,43
16_C_3,1,7,44
QC09,1,NA,45
10_B_2,1,2,46
10_C_1,1,5,47
1_C_3,1,7,48
14_B_2,1,2,49
15_B_4,1,4,50
9_B_2,1,2,51
QC10,1,NA,52
15_B_2,1,2,53
15_C_1,1,5,54
14_C_3,1,7,55
16_C_2,1,6,56
18_C_2,1,6,57
1_B_2,1,2,58
QC11,1,NA,59
17_B_3,1,3,60
15_B_3,1,3,61
14_C_1,1,5,62
20_C_1,1,5,63
9_B_3,1,3,64
10_B_3,1,3,65
QC12,1,NA,66
1_C_1,1,5,67
9_C_3,1,7,68
18_C_3,1,7,69
18_B_3,1,3,70
1_B_4,1,4,71
QC13,1,NA,72
